Price,Close,High,Low,Open,Volume,future_return,label,ticker,executive,company
Ticker,CRM,CRM,CRM,CRM,CRM,,,,,
Date,,,,,,,,,,
2018-01-02,103.1566162109375,103.44312827943777,101.04229885618923,101.64497672845627,4669200,0.04539801362981756,1,CRM,Marc Benioff,Salesforce
2018-01-03,104.02606201171875,104.86585679954221,103.36410674090097,103.64074431450788,3888700,0.03333642833128858,1,CRM,Marc Benioff,Salesforce
2018-01-04,105.39936828613281,106.36760726666905,104.50028869436285,104.72753099334244,4540200,0.022684700134767474,1,CRM,Marc Benioff,Salesforce
2018-01-05,106.80232238769531,106.99992602952038,105.91312484400295,106.46640750330496,3368400,0.019796491040585354,1,CRM,Marc Benioff,Salesforce
2018-01-08,107.5531997680664,107.82983732525624,106.27868456146344,106.70352296366443,2933600,0.00027551545117463996,1,CRM,Marc Benioff,Salesforce
2018-01-09,107.8397216796875,108.02743571873009,106.95052412856273,107.69152083153199,3302300,0.008153936449469846,1,CRM,Marc Benioff,Salesforce
2018-01-10,107.4939193725586,108.17563117963077,106.93076220786008,107.37535719237705,3113300,0.027297743423923857,1,CRM,Marc Benioff,Salesforce
2018-01-11,107.79032135009766,108.08672305318893,107.36548292916466,107.69152329500338,3668100,0.025939510172955784,1,CRM,Marc Benioff,Salesforce
2018-01-12,108.91663360595703,109.38099274730003,107.6026051773709,107.91876347010108,5749500,0.02403837902997642,1,CRM,Marc Benioff,Salesforce
2018-01-16,107.58283233642578,110.10222394550236,106.93075920823897,109.51930266488843,5790800,0.03994866498684464,1,CRM,Marc Benioff,Salesforce
2018-01-17,108.71903991699219,109.05495481269577,107.9187658696208,108.4325202800523,4254700,0.02553617110205163,1,CRM,Marc Benioff,Salesforce
2018-01-18,110.42826080322266,110.82346053613938,108.89687220265628,108.9067542688764,3842800,0.0016999385037487426,1,CRM,Marc Benioff,Salesforce
2018-01-19,110.58634948730469,111.05070863239916,110.27019119202033,110.86298705345246,3120900,0.015813423513881625,1,CRM,Marc Benioff,Salesforce
2018-01-22,111.5348129272461,111.60397231168578,109.67738407528938,110.28993646952435,2214700,0.003631963163783576,1,CRM,Marc Benioff,Salesforce
2018-01-23,111.88062286376953,112.3943848117761,111.32734772389333,111.82134553815663,2816800,-0.008919004417291189,0,CRM,Marc Benioff,Salesforce
2018-01-24,111.49530792236328,112.47342150814927,111.14951095140951,112.26594332557701,4975500,0.009392898397574968,1,CRM,Marc Benioff,Salesforce
2018-01-25,110.61598205566406,112.10785746269458,110.55670473412904,111.92013589408981,4715100,0.00696685169068751,1,CRM,Marc Benioff,Salesforce
2018-01-26,112.33509826660156,112.5524585076727,110.68514740073729,111.36686678631345,3927400,-0.025681700593847345,0,CRM,Marc Benioff,Salesforce
2018-01-29,111.93990325927734,113.03657896619441,111.49530072150093,112.33509546466773,3181500,-0.04986761687265845,0,CRM,Marc Benioff,Salesforce
2018-01-30,110.88275909423828,112.08810749872292,110.49743384213018,111.07047314876299,3737700,-0.023701450945651893,0,CRM,Marc Benioff,Salesforce
2018-01-31,112.54257202148438,113.14524234704764,111.28781350418154,111.70276980878873,4181800,-0.03388630604466897,0,CRM,Marc Benioff,Salesforce
2018-02-01,111.38662719726562,112.89825933200935,111.17914901581145,111.93990988561869,4302800,-0.07725751023927394,0,CRM,Marc Benioff,Salesforce
