Price,Close,High,Low,Open,Volume,future_return,label,ticker,executive,company
Ticker,META,META,META,META,META,,,,,
Date,,,,,,,,,,
2018-01-02,180.0074005126953,180.16615833200692,176.16753849046654,176.29651597117564,18151900,0.03555287313304736,1,META,Mark Zuckerberg,Meta
2018-01-03,183.23207092285156,183.3412150168427,179.91808136345082,180.4638018334065,16886600,0.017165964499379054,1,META,Mark Zuckerberg,Meta
2018-01-04,182.8947296142578,184.76009597513172,182.66652473180332,183.46028347772807,13880900,0.018662228670013464,1,META,Mark Zuckerberg,Meta
2018-01-05,185.39511108398438,185.44470965036146,183.49004771181433,184.1449122997492,13574500,-0.040032003149944845,0,META,Mark Zuckerberg,Meta
2018-01-08,186.81396484375,187.42913239620646,184.87915146104248,185.7423723994865,17994700,-0.052528048589239276,0,META,Mark Zuckerberg,Meta
2018-01-09,186.4071807861328,187.32994738909062,185.64318714688596,187.23071996426356,12393100,-0.05466537102927618,0,META,Mark Zuckerberg,Meta
2018-01-10,186.37742614746094,186.42703986268575,184.18464225033807,185.4844398333351,10529900,-0.04280240315737999,0,META,Mark Zuckerberg,Meta
2018-01-11,186.30795288085938,186.93303715692767,185.9209901804445,186.93303715692767,9588600,-0.03451025472981794,0,META,Mark Zuckerberg,Meta
2018-01-12,177.97337341308594,180.06694500672174,176.01871113722777,176.67357583817093,77551300,0.03345021199600846,1,META,Mark Zuckerberg,Meta
2018-01-16,177.00099182128906,180.33483027965096,176.65371098896813,180.08677686798706,36183800,0.061438437122546444,1,META,Mark Zuckerberg,Meta
2018-01-17,176.2171630859375,177.92377189900247,174.43117535831368,177.86422635809845,27992400,0.050394040196152456,1,META,Mark Zuckerberg,Meta
2018-01-18,178.4000244140625,179.57082930057405,175.70120196721285,176.74302936926532,23304900,0.042713997644809654,1,META,Mark Zuckerberg,Meta
2018-01-19,179.87841796875,180.95001059916535,178.76714345127323,179.4418566511554,26826500,0.04804448602164548,1,META,Mark Zuckerberg,Meta
2018-01-22,183.92662048339844,183.9464689935451,179.00524976543338,179.39221244341843,21059500,0.0032908253528032413,1,META,Mark Zuckerberg,Meta
2018-01-23,187.8756561279297,188.0740958251222,184.105241321358,184.60134813432853,25678800,-0.011777185666185236,0,META,Mark Zuckerberg,Meta
2018-01-24,185.0974578857422,189.17545655869773,185.06769268768969,188.41144781540044,24334500,0.0018225888741867948,1,META,Mark Zuckerberg,Meta
2018-01-25,186.02020263671875,187.1513255420997,185.14706495851576,186.48654424279474,17377700,0.02992325498604711,1,META,Mark Zuckerberg,Meta
2018-01-26,188.5205841064453,188.5205841064453,185.35542029826166,186.28810350518478,17759200,0.0014735871681525162,1,META,Mark Zuckerberg,Meta
2018-01-29,184.53189086914062,187.36962252114174,184.1846251747221,187.28032692600374,20453200,-0.025379125714165698,0,META,Mark Zuckerberg,Meta
2018-01-30,185.6630096435547,186.7147536692003,180.42412288714675,186.15911645866893,20858600,-0.009672975245510397,0,META,Mark Zuckerberg,Meta
2018-01-31,185.434814453125,188.3519251010696,183.77781942071672,186.90328646352634,43275100,-0.035903591774505916,0,META,Mark Zuckerberg,Meta
2018-02-01,191.58653259277344,193.7991799624837,186.42702457215398,186.7544568978059,54211300,-0.11139874233572253,0,META,Mark Zuckerberg,Meta
2018-02-02,188.7983856201172,192.69779259027246,188.5007185388877,190.54467594869928,26677500,-0.07446918478171703,0,META,Mark Zuckerberg,Meta
2018-02-05,179.8486328125,189.12583608662013,179.2037000244502,185.47448214295298,33128200,-0.026757001194580948,0,META,Mark Zuckerberg,Meta
2018-02-06,183.86709594726562,184.32352085530795,176.35604702517875,177.17958611274838,37758500,-0.06561980442350045,0,META,Mark Zuckerberg,Meta
2018-02-07,178.77703857421875,183.63889428170924,178.5488336861869,182.71612776405163,27601900,-0.0036629211258267518,0,META,Mark Zuckerberg,Meta
2018-02-08,170.24403381347656,180.42414124503927,170.1448063843661,179.60060203135833,38478300,0.048840143503072884,1,META,Mark Zuckerberg,Meta
2018-02-09,174.7387237548828,175.52256577473037,165.87824914129024,173.39922944580292,39887600,0.00709799970781572,1,META,Mark Zuckerberg,Meta
2018-02-12,175.0364227294922,176.1675457436953,170.50199884607702,175.68135557952797,32092100,-0.002267594452082422,0,META,Mark Zuckerberg,Meta
2018-02-13,171.80177307128906,174.5998225974383,171.75217450492073,174.2525417929948,21809400,0.02749067185140402,1,META,Mark Zuckerberg,Meta
2018-02-14,178.1221923828125,178.40992766953786,171.86132689530353,172.09944847328913,28929700,-0.002952349166687797,0,META,Mark Zuckerberg,Meta
2018-02-15,178.55877685546875,179.0945655700988,175.4630599421185,179.0945655700988,20922100,0.018504143042556383,1,META,Mark Zuckerberg,Meta
2018-02-16,175.97901916503906,178.47940188173544,174.92727508499433,177.59633231075645,20645300,0.042681493503706466,1,META,Mark Zuckerberg,Meta
2018-02-20,174.63951110839844,176.5644079238638,173.74652492018245,174.40138953286248,21204900,0.03096431465661294,1,META,Mark Zuckerberg,Meta
2018-02-21,176.52471923828125,179.8585574271064,175.0264670633768,175.33406598655316,23200800,0.002304662121769004,1,META,Mark Zuckerberg,Meta
2018-02-22,177.5963134765625,178.80681525087556,176.0286142091738,177.30856306104116,18464200,-0.017040108078459296,0,META,Mark Zuckerberg,Meta
2018-02-23,181.86285400390625,181.96208143622312,178.11228719003194,178.49924995209895,19007300,-0.036390625582075155,0,META,Mark Zuckerberg,Meta
2018-02-26,183.4900665283203,184.2143934074253,181.79338963283567,183.14280082818172,17599700,-0.024495798616322964,0,META,Mark Zuckerberg,Meta
2018-02-27,180.04710388183594,183.26186656629068,180.04710388183594,183.01381314236772,15849800,-0.009258305834442909,0,META,Mark Zuckerberg,Meta
2018-02-28,176.93154907226562,181.4560409894335,176.7529427387042,180.88055524348087,18783000,0.030226505611801107,1,META,Mark Zuckerberg,Meta
2018-03-01,174.57005310058594,178.71749844130207,173.05196759166571,177.6161408034602,23201600,0.03637607847055182,1,META,Mark Zuckerberg,Meta
2018-03-02,175.2447509765625,175.7309410626267,171.64302611360225,171.9406780642771,20025900,0.048748872426607595,1,META,Mark Zuckerberg,Meta
2018-03-05,178.99533081054688,179.73949102479247,174.5204528392756,174.82803663876726,16189300,0.024168506435881833,1,META,Mark Zuckerberg,Meta
2018-03-06,178.3801727294922,180.95993433251797,177.71539138609242,180.36460007336458,15086800,0.011680943289590887,1,META,Mark Zuckerberg,Meta
2018-03-07,182.27957153320312,182.38871563744618,176.68348729924048,177.34826861054702,19097300,0.0026128686775032115,1,META,Mark Zuckerberg,Meta
2018-03-08,180.92022705078125,182.96418467670003,180.0371575384189,182.1307288731177,17225900,0.008335984416690253,1,META,Mark Zuckerberg,Meta
2018-03-09,183.78773498535156,184.06555360346206,181.78347426040867,182.47802080568488,18526300,-0.0007559333294201364,0,META,Mark Zuckerberg,Meta
2018-03-12,183.32138061523438,184.65095835526108,182.78559192893863,183.787722221815,15301200,-0.06603155445870078,0,META,Mark Zuckerberg,Meta
2018-03-13,180.4638214111328,184.54182007087564,179.6998126703109,184.16477404346094,18067500,-0.07548941280102939,0,META,Mark Zuckerberg,Meta
2018-03-14,182.75584411621094,182.81537451590896,180.43406768811147,181.17822796429562,16821700,-0.08035200879813263,0,META,Mark Zuckerberg,Meta
2018-03-15,182.42837524414062,182.56728452894401,180.77138051113707,181.81320771715082,15614300,-0.10317619503989169,0,META,Mark Zuckerberg,Meta
2018-03-16,183.6488037109375,183.88694041511232,181.98189220164593,183.05348466046652,24403400,-0.138851315197371,0,META,Mark Zuckerberg,Meta
2018-03-19,171.2163848876953,175.79049041621707,168.73585076463533,175.6317325987463,88140100,-0.07243853555666124,0,META,Mark Zuckerberg,Meta
2018-03-20,166.84071350097656,168.87475444209613,160.68899210879263,166.1660155091787,129851800,-0.09473670058723771,0,META,Mark Zuckerberg,Meta
